Lesson,Example,Card,Hint
Lesson 11,I want a …,Use དགོས་ to say “to want” by using it without an auxiliary,ང་ལ་འཚིག་ཇ་ཅིག་དགོས། I want a coffee.
,,"(1) say one should do VERB, (2) say does not have to do VERB, and (3) say one should not do VERB","VERB + དགོས་རེད།, VERB + དགོས་མ་རེད།, VERB + རྒྱུ་ཡོད་མ་རེད། "
Lesson 11,I currently need something …,"དགོས་ as a full verb, present tense, self",དགོས་ཡོད། དགོས་མེད། དགོས་རེད། དགོས་མ་རེད།
Lesson 11,I will need something …,"དགོས་ as a full verb,  future tense, self",དགོས་[ཀྱི་]ཡོད། དགོས་[ཀྱི་]མེད།  (there is no explicit future tense)
Lesson 11,I needed something previously …,"དགོས་ as a full verb, past tense, self",དགོས་བྱུང་། དགོས་མ་བྱུང་།
Lesson 11,Oh! They need …,"དགོས་ as a full verb, present tense, just realizing / immediate, other",དགོས་[ཀྱི་]འདུག དགོས་[ཀྱི་]མི་འདུག 
Lesson 11,They need …,"དགོས་ as a full verb, present tense, general / habitual / inferential, other",དགོས་[ཀྱི་]ཡོད་རེད། དགོས་[ཀྱི་]ཡོད་མ་རེད། དགོས་རེད། དགོས་མ་རེད།
Lesson 11,They needed …,"དགོས་ as a full verb, past tense, just realizing / immediate, other",དགོས་བྱུང་སོང་། དགོས་བྱུང་མ་སོང་།
Lesson 11,They needed … ,"དགོས་ as a full verb, past tense, general / habitual / inferential, other",དགོས་བྱུང་བ་རེད། དགོས་བྱུང་ཡོད་མ་རེད།
Lesson 11,I will be able to … ,"ཐུབ་ future tense, self",ཐུབ་ཀྱི་རེད། ཐུབ་ཀྱི་མ་རེད།
Lesson 11,She will be able to …,"ཐུབ་ future tense, other",ཐུབ་ཀྱི་རེད། ཐུབ་ཀྱི་མ་རེད།
Lesson 11,I am generally able to …,"ཐུབ་ present tense, habitual, self",ཐུབ་ཀྱི་ཡོད། ཐུབ་ཀྱི་མེད།
Lesson 11,They are generally able to …,"ཐུབ་ present tense, habitual, other",ཐུབ་ཀྱི་ཡོད་རེད། ཐུབ་ཀྱི་ཡོད་མ་རེད།
Lesson 11,Oh! Wow! I can …,"ཐུབ་ present tense, just realizing / immediate, self",ཐུབ་ཀྱི་འདུག ཐུབ་ཀྱི་མི་འདུག
Lesson 11,Oh! Wow! He can …,"ཐུབ་ present tense, just realizing / immediate, other",ཐུབ་ཀྱི་འདུག ཐུབ་ཀྱི་མི་འདུག
Lesson 11,I was able to …,ཐུབ་ past self,ཐུབ་བྱུང་།
