note_id,last modification time,tags,Front,Front_alt,Back,Part of Speech,Sound,Sound Example Sentence,Image,Note,Sanskrit,Question,Spelling Hint
1622854789628,1702725402,LRZTP LRZTP_13 LRZTP_Colloquial_Lesson_13 LRZTP_Module_2,གློག་,,"electricity, power, light",n,[sound:glog.mp3][sound:190448686_180629_0937_37.mp3],[sound:glog ex.mp3],"""<img src=""""paste-a6d174f9a6ef5a8326a9fe9a0b2d10fe4d32c7c1.jpg"""">""", རྙེད་དཀའ་འཇིག་སླ་ནམ་མཁའི་གློག་དང་འདྲ། །<br>So hard to find yet like a flash of lightning it is easy to vanish;ཀློག་ to read,,,"electricity kills with a ka, reading is great with a ga"
1622896863599,1702725464,LRZTP LRZTP_18 LRZTP_Colloquial_Lesson_18 LRZTP_Module_2,དྲི་མ་,,smell,n,[sound:dri ma.mp3][sound:དྲི་མ།.mp3],[sound:dri ma ex.mp3][sound:ང་ཁ་ལག་གི་དྲི་མ་ཁག་དུས་གྲོད་ཁོག་ལྟོག་ག.mp3],,"བཞའ་ཚན་གྱི་དྲི་མ་ཡོད་ས་ལས་བསང་གི་དྲི་མ་ཡོད་སར་ཞེ་དྲགས་ཀྱི་སྐྱིད་པ་ཡོད་རེད།<br>Places that have the scent of <i>sang</i> (purifying   incense) are much more pleasant than places that have a damp smell. <br>ང་ཁ་ལག་གི་དྲི་མ་ཁ་དུས་གྲོད་ཁོག་ལྟོགས་ཀྱི་འདུག<br>When I smell the smell of food, I get hungry. (Lit. am hungry)<br>",,,
1622983756784,1702725413,LRZTP LRZTP_14 LRZTP_Colloquial_Lesson_14 LRZTP_Module_2,བཅིངས་པ་,,"to fasten, to bind, to put fetters   (ཐ་དད་པ་)",v,[sound:bcing ba.mp3][sound:190448644_180629_1017_30.mp3],,"""<img src=""""1cWW2CgtGnm6uhXLS-pB7PA.jpeg"""">""", འཁོར་བ་གང་གིས་བཅིངས་པ་ཤེས་པ་གཅེས། །<br>It's vital to know what chains us in cyclic existence.<br><br>ཡིད་ཀྱི་གླང་པོ་ལོག་འགྲོ་བ། །<br>དམིགས་པའི་ཀ་བ་བརྟན་པོ་ལ། །<br>དྲན་པའི་ཐག་པས་ངེས་བཅིངས་ནས། །<br>ཤེས་རབ་ལྕགས་ཀྱུས་རིམ་དབང་བྱ། །<br>The erring elephant of your mind<br>To the sturdy pillar of the object of meditation<br>Is securely bound by the rope of mindfulness<br>And is gradually controlled with the iron hook of intelligence.,,,
1623099216452,1702725489,LRZTP LRZTP_20 LRZTP_Colloquial__Lesson_20 LRZTP_Module_3,སྤྱོད་པ་,,"behaviour, conduct, way of conducting oneself",n,[sound:སྤྱོད་པ།-d49fc4b282e72f6ac4abda99b7898496d0d3e49e.mp3],[sound:བུ་འདི(འི་)སོད་པ་སྡུག་ཅག་ཡ-e4fe2129f9cd4c81401e794d31cb06b66a0027f4.mp3],"""<img src=""""18706204_G.jpg"""">""","སྤྱོད།&nbsp;as in: བེད་སྤྱོད་བྱེད་པ། = to use, གསང་སྤྱོད། = toilet (lit. secret conduct), སྤྱོད་འཇུག = Entering the Conduct of a Bodhisattva<br><br>བུ་འདི་འི་སྤྱོད་པ་སྡུག་ཅག་ཡོད་རེད། བྱས་ཙང་གཟབ་གཟབ་བྱེད་ཨ།<br>The behaviour of this boy is not good. Be careful.",,,
1623413786508,1702725280,LRZTP LRZTP_04 LRZTP_Colloquial_Lesson_4 LRZTP_Module_1,འཛམ་གླིང་,,"world, planet earth",n,[sound:182455981_180406_1011_00.mp3],,"""<img src=""""earth.jpg"""">""",the southern continent of the Jambu Continent,,,
1623415158691,1702725265,LRZTP LRZTP_03 LRZTP_Colloquial_Lesson_3 LRZTP_Module_1,རྒྱ་མཚོ་,,"ocean, sea",n,[sound:181864675_180401_0304_15.mp3],,"""<img src=""""images-363d68d381b493e171811993b622b4140599713e.jpg"""">""",,,,
1623503254923,1702725362,LRZTP LRZTP_10 LRZTP_Colloquial_Lesson_10 LRZTP_Module_1,ཉིན་མཚན་,,day and night,n,[sound:188307637_180603_0549_23.mp3],,"""<img src=""""paste-17387803aec1533c7c349058e8be94a5efcb38a1.jpg"""">""",,,,
1623725063734,1702725265,LRZTP LRZTP_03 LRZTP_Colloquial_Lesson_3 LRZTP_Module_1,དཔེར་ན་,,for example,p,[sound:181864712_180401_0308_56.mp3],,,,,,
1623804415193,1702725387,LRZTP LRZTP_12 LRZTP_Colloquial_Lesson_12 LRZTP_Module_2,ལོག་པ་,,"to return, to go / come back (ཐ་མི་དད་པ་)",v,[sound:189790754_180616_0440_56.mp3],,"""<img src=""""7vzea57n698a12emv7ei.png""""><img src=""""reverse-charge-notaio.d-ambrosio.jpg""""><img src=""""artsy-chicken-eggs-color-1556707-1200x565.jpg""""><br>""",,,,
1624986238974,1702725328,LRZTP LRZTP_07 LRZTP_Colloquial_Lesson_7 LRZTP_Module_1,བྱང་,,north,"n, adj",[sound:184734862_180427_1627_27.mp3],,,,,,
1630426705254,1702725387,LRZTP LRZTP_12 LRZTP_Colloquial_Lesson_12 LRZTP_Module_2,ཉེན་ཁ་,,"danger, risk",n,[sound:189790738_180616_0436_30.mp3],,"""<img src=""""paste-0183affa10d7623dda792864de3bd7febbdb4398.jpg""""><img src=""""paste-05a653a3c1939606ec2daa7052f396973431fc04.jpg"""">""", དེ་བརྗེད་ཡག་ཉེན་ཁ་ཡོད་རེད།་<br>There is a chance/risk/danger of forgetting it.,,,
1630427092102,1702725387,LRZTP LRZTP_12 LRZTP_Colloquial_Lesson_12 LRZTP_Module_2,ཡར་,,"upwards, up","adv, prep",[sound:189790783_180616_0447_24.mp3],,,,,,
1630427837443,1702725387,LRZTP LRZTP_12 LRZTP_Colloquial_Lesson_12 LRZTP_Module_2,མགྱོགས་པོ་,,"fast, quick // soon","adj, adv",[sound:189790761_180616_0443_22.mp3],,,,,,
1638296225946,1702725339,LRZTP LRZTP_08 LRZTP_Colloquial_Lesson_8 LRZTP_Module_1,ལྷག་མ་,,"left, left over",adj,[sound:185559257_180506_0240_05.mp3][sound:ལྷག་མ།.mp3],"""<span style=""""color: rgb(2, 2, 2);"""">[sound:མོག་མོག་ལྷག་པ་དེ་ཚོ་ང་ནང་ལ་འཁྱེར་འགྲོ་.mp3]</span>""",,"""ལྷགས་པ་ breeze, wind<br><br>&nbsp;མོག་མོག་ལྷག་མ་དེ་ཚོ་ང་ནང་ལ་འཁྱེར་འགྲོ་གི་ཡིན།<br>I’ll take the leftover momos home.<br><br>དཔྱད་ན་ལྷག་མ་མ་ལུས་པར་འཇིག་པར་འགྱུར་ལས་<br>when analyzed, because of falling apart completely&nbsp;(literally: dissolving without remainder )<br><br><span class="""""""">།སྔགས་པ་ཁྱིམ་པས་རྟགས་དང་ཆོ་ག་སྤང༌། །ལྷག་མ་རྣམས་ནི་ཉམས་སུ་བླང་བར་བྱ།<br></span>A householder practitioner of mantra should set aside, The signs and rituals and practice the rest.<br><br><span class="""""""">ལྷག་མ་དགུ་ཡང་གཞི་མ་གཏོགས་པ་སྲོག་གཅོད་པ་ལྟར་ལྕི་ཡང་ཤེས་པར་བྱ་<br></span>You should understand that the weight of the remaining nine [nonvirtuous actions] is similar to killing, except for the basis, ...<br><br> <font color=""""#000000""""><span class="""""""">།ཟག་པ་འབྲིང་ནི་གསུམ་ལ་བཤགས། །གཅིག་གི་མདུན་དུ་ལྷག་མ་རྣམས།<br></span>With regards to the middling defilements, one confesses in front of three [appropriate people]. The rest can be [confessed] in front of one [appropriate person].</font><br>""",,,
1639590669949,1702725362,LRZTP LRZTP_10 LRZTP_Colloquial_Lesson_10 LRZTP_Module_1,ད་རེས་,,"at present, nowadays",adv,[sound:188307674_180603_0551_04.mp3],,,རྣལ་འབྱོར་པ་ཆེན་པོའི་ཞལ་ནས། ད་རེས་ཕྱུགས་ལས་བྱེ་བྲག་འབྱེད་པའི་དུས་ཡིན་ནོ་གསུང༌།<br>The great yogi Chang-chup-rin-chen said: Now is the time to make ourselves different from domestic animals.,,,
