front,back,part_of_speech
ལྐུགས་པ།,Dumb,
ཡོན་ཏན།,Good qualities,
ཕུང་པོ་,Aggregates,
སྐྲན་ནད་,Cancer,n
རོ་,Corpse,n
རྣག་,Pus,n
སྐྱག་པ་བཏང་,To poop,v
ངོས་འཛིན་པ་,To diagnose (med.),v
གཉན་ཁ་,Infection (med.),n
སྨུག་ཐིག་ཆགས་པ་,To become bruised,v
སྐྲན་ཆགས་པ་,To swell up (med.),v
སྙིང་ཐག་པ་ནས་,from the bottom of one's heart,adv
ཕྱིས་སུ་,Later,adv
གང་ཐུབ་ཐུབ་,As much as possible,adv
ཁག་,Type,n
རྒྱ་གར་འཕགས་པའི་ཡུལ་,"India, the land of the Aryas",n
བསྟན་པ་,Teaching,n
བློ་ལ་བབས་པ་,"appealing, adequate",n
ལྷག་པར་དུ་,In particular,
... དྲན་གྱི་འདུག,... I think (in my opinion).,
ཐོག་མར་,At the beginning,adv
དྲན་པ་,"(1) remember, (2) miss, (3) to think",n
འབྲུག་ཡུལ་,Bhutan,
ཕན་བདེ་སྒྲུབ་པ་,To accomplish happiness and wellbeing,n
བྱོན་པ་,To come (ཡིག་སྐད་),v
ལན་བསྐྱོན་པ་,To answer (H),v
མོས་པ་,"aspiration, wish, visualization",n
ཉམས་པ་,To be degenerated,v
རི་རྒྱུད་,Mountain range,n
དགོངས་ཚུལ་,Opinion (H),n
སྦར་མ་,Burma,n
མི་འདྲ་བ་,Different,adj
བསམ་པ་,Mental disposition,n
སིངྒ་ལ་,Sri Lanka,n
་་་ཟེར་དགོས་པའི་རྒྱུ་མཚན་,the reason(s) why it should be called ...,
འབྲེལ་བའི་,Related to...,adj
སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་,Buddha Shakyamuni,n
ཀོ་རེ་ཡ་,Korea,n
དར་བ་,To spread,v
གྲུབ་ཐོབ་,Siddha,n
ཉི་ཧོང་,Japan,n
སྐྱེས་བུ་དམ་པ་,excellent being,n
ཐཡི་ལེནྜ་,Thailand,n
སོག་ཡུལ་,Mongolia,n
སྐུ་ཞབས་,Venerable,n
དུས་རབས་ཉི་ཤུ་པ་,20th century,n
ནུབ་ཕྱོགས་,in the West,n
སྒྲུབ་པ་,"to practice, to accomplish",v
རབ་ཏུ་འབྱུང་བ་,to become a monk [lit. thoroughly arise],v
ཝ་ར་ན་སི་,Varanasi,n
དགོངས་པ་རྫོགས་པ་,"to pass away, to die (H) (lit. to fulfill one's intent)",v
ཐུན་མོང་གི་རིག་གནས་བཞི་,the four traditional sciences,n
རྡོ་རྗེ་གདན་,"Bodhgaya,Vajrasana",n
