note_id,last modification time,tags,Front,Back,Sound,Image,Notes,Part of Speech,Acceptions,Synonymous,Synonymous_sound,Morphemes,Tense,Example Sentence Tibetan,Example Sentence English,Example Sentence Sound,Shesa,Shesa_sound,Sanskrit,Spelling Out,Phrase?
1694601216197,1702725440,LRZTP LRZTP_16,རོ་,Corpse,[sound:230911-30.mp3],"""<img src=""""The-male-human-corpse-discovered-from-the-bottom-of-a-well-in-Shiraz-Fars-province.png"""">""",,n,,མི་རོ་,[sound:230911-31.mp3],,,,,,,,,,
1694601814628,1702725440,LRZTP LRZTP_16,སྐྱག་པ་བཏང་,To poop,[sound:230911-41.mp3],"""<img alt=""""Why You Have To Poop In The Morning — TUSHY"""" src=""""Why_Do_I_Have_to_Poop_in_the_Morning_Hero.jpg"""">""",,v,,བཤང་བ་,[sound:230911-43.mp3],"སྐྱག་པ་ = stool, dung, feces, excrement, shit, bad, vile, scum",,,,,ཆབ་ཆེན་,[sound:230911-42.mp3],,,
1694602450053,1702725440,LRZTP LRZTP_16,རྣག་,Pus,[sound:230911-53.mp3],"""<img alt=""""Impetigo Condition, Treatments and Pictures for Infants - Skinsight"""" src=""""impetigo_28605_lg.jpg"""">""",,n,,,,,,,,,,,,,
1694602541450,1702725440,LRZTP LRZTP_16,སྨུག་ཐིག་ཆགས་པ་,To become bruised,[sound:230911-54.mp3],"""<img alt=""""Bruise - Wikipedia"""" src=""""Pferdekuss.jpg"""">""",,v,,,,"སྨུག་ = purple, maroon, color of clotted blood. ཐིག་ = line. ཆགས་པ་ = to become",,,,,,,,,
1694602598720,1702725440,LRZTP LRZTP_16,སྐྲན་ཆགས་པ་,To swell up (med.),[sound:230911-55.mp3],"""<img alt=""""Swollen Eyelids: What Is Causing My Swollen Eyelids?"""" src=""""swollen-eyelids-hero.jpg"""">""",,v,,,,"སྐྲན་ = swelling, tumor.",,,,,,,,,
1694602732164,1702725440,LRZTP LRZTP_16,སྐྲན་ནད་,Cancer,[sound:230911-56.mp3],"""<img alt=""""What Are the Different Types of Skin Cancer?"""" src=""""what-are-the-different-types-of-skin-cancer-722x406.jpg"""">""",,n,,,,,,,,,,,,,
1694602838864,1702725440,LRZTP LRZTP_16,ངོས་འཛིན་པ་,To diagnose (med.),[sound:230911-58.mp3],"""<img alt=""""What is a Diagnosis?"""" src=""""shutterstock_1706565550_(1).jpg"""">""",,v,"to identify, ascertain the identity of, distinguish, recognize. Identification; acknowledge",,,ངོས་ = form; aspect. འཛིན་པ་ = to hold.,,,,,,,,,
1694602907945,1702725440,LRZTP LRZTP_16,གཉན་ཁ་,Infection (med.),[sound:230911-60.mp3],"""<img alt=""""Skin Infection: Pictures, Types, Causes and Treatments"""" src=""""642x361_Slide_1_Skin_Infections.jpg"""">""",,n,,,,གཉན་ = evil spirit,,,,,,,,,
1694608518024,1702725570,LRZTP LRZTP_25,ལབ་སྲོལ་,"customary saying, sayiing",[sound:230921-40-5feabca058e0994dfb53ea39086faafa7ce38e24.mp3],"""<a href=""""https://www.google.com/imgres?imgurl=https%3A%2F%2Fpbs.twimg.com%2Fmedia%2FDiFeoP_X0AAaGoY.jpg&amp;tbnid=05oJU2yXA1W0CM&amp;vet=12ahUKEwjG7N6hvYeDAxVXT2wGHY2LCYcQMygEegQIARBH..i&amp;imgrefurl=https%3A%2F%2Ftwitter.com%2FLifeWithJohn%2Fstatus%2F1018199037999230978&amp;docid=HB4y0LsE2uFOKM&amp;w=1024&amp;h=512&amp;q=it's%20not%20the%20dog%20in%20the%20fight%20quote&amp;client=firefox-b-d&amp;ved=2ahUKEwjG7N6hvYeDAxVXT2wGHY2LCYcQMygEegQIARBH""""><div><img alt=""""Inspiration &amp; More 🎄 on X: &quot;It's not the size of the dog in the fight, but  the size of the fight in the dog. - Archie Griffin #quote  https://t.co/PB8N1B6BRm&quot; / X"""" src=""""paste-22c80d08bc98143022ae4031063066a980baf092.jpg""""></div><div></div></a>""",,,Expression,ལབ་ཡག་གི་ལུགས་སྲོལ་,[sound:230921-41-fbf268e6e1a9506be83c4ae5e15f0e1a18fdc744.mp3],,,སྤྱིར་བཏང་བོ་པ་ཚོའི་ལྦ་སྲོལ་ཅིག་རེད།,This generally a tibetan saying. Or: This is generally a customary saying of Tibetans,[sound:generally tibetans say that.mp3],,,,,
1698227887464,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,ཁག་,<div>Type</div>,[sound:L21 Vocabulary_Nouns_A-07.mp3],"""<img alt=""""List of 10 Most Famous Buddhist Temples in India"""" src=""""10-Buddhist-Temples-in-India.jpg"""">""",,n,"<div>class, group</div>",,,,,རྒྱ་གར་ལྷོ་ཕྱོགས་ལ་བོད་པའི་དགོན་པ་ཁག་ག་ཚོད་ཡོད་རེད།,How many different Tibetan monasteries are there in South India?,[sound:L21 Vocabulary_Nouns_A-08.mp3],,,,,
1698228033588,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,དགོངས་ཚུལ་,Opinion (H),[sound:L21 Vocabulary_Nouns_A-09.mp3],"""<img alt=""""Opinion: Why the Speaker is wrong not to allow the no-confidence motion in Parliament"""" src=""""874224-86058-tvdndkzuef-1522771018.jpg"""">""",,n,"<div>point of view, way of thinking</div>",,,"<div>དགོངས་པ་ (H) = བསམ་པ་ = to think; ཚུལ་ = way, manner, as in: གནས་ཚུལ་ = situation, way of abiding</div>",,ཁྱེད་རང་ལ་དགོངས་ཚུལ་ག་རེ་ཡོད་ནའི་ང་ལ་གསུང་རོགས་གནང་།,Please tell me whatever ideas/impressions you have.,[sound:L21 Vocabulary_Nouns_A-10.mp3],,,,,
1698228285517,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,བསམ་པ་,Mental disposition,[sound:L21 Vocabulary_Nouns_A-13.mp3],"""<img src=""""quote-the-mental-disposition-of-the-one-who-prepares-the-food-is-transmitted-to-all-those-mata-amritanandamayi-96-.jpeg"""">""",,n,"<div>Motivation, attitude</div>",,,,,ངའི་རྩ་བའི་བླ་མས་བསམ་པ་བཟང་པོ་བྱེད་ཡག་དེ་བདེ་སྐྱིད་ཀྱི་རྩ་བ་རེད་གསུངས་སོང་།,My root guru said that having a kind/sincere/positive mental disposition is the root of happiness and well-being. ,,,,,,
1698228461731,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,མོས་པ་,"aspiration, wish, visualization",[sound:L21 Vocabulary_Nouns_A-15.mp3],"""<img alt=""""Chenrezig Visualization Meditation (in Tibetan) by Kyabje Kunde Rinpoche - YouTube"""" src=""""hqdefault-d781e0bcfc90e5db6aac92a6ddb6d19933063812.jpg"""">""",,n,,,,"བསམ་པ་དང་མོས་པ་མི་འདྲ་བ། = various, different, manifold motivations and dispositions, interests, beliefs (བསམ་པ་ = thought, as in: བསམ་བློ་གཏོང་བ་ = to think, to reflect; མོས་ = dedication, as in: རེ་མོས་བྱས་ནས་ = alternately; མི་འདྲ་བ་ = different, མི་ = དགག་སྒྲ་ = negation particle, འདྲ་བ་ = to be similar, to be like, as in: སྐུ་འདྲ་ = statue)",,མ་ཎི་བགྲང་དུས་སྤྱན་རས་གཟིགས་སོ་སོའི་མགོའི་སྟེང་ལ་ཡོད་བསམ་པའི་མོས་པ་བྱེད་ཐུབ་ན་ཡག་པོ་ཡོད་རེད།,It is good if you do a visualization of Avalokiteshvara above your head when you count (say) the mani mantra.,[sound:L21 Vocabulary_Nouns_A-16.mp3],,,,,
1698228751473,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,རྒྱ་གར་འཕགས་པའི་ཡུལ་,"India, the land of the Aryas",[sound:L21 Vocabulary_Nouns_B-01.mp3],"""<img alt=""""India: The land of Dreams and Romance , Aryan Books International, 9788173056802"""" src=""""thumb_286_137453.jpg"""">""",,n,"<div>the noble/holy land of India, the land of the noble ones</div>",,,"རྒྱ་ as in: རྒྱ་ཆེན་པོ་ = vast, broad;  གར་ comes from: དཀར་པོ་ = white; འཕགས་པ་ = Noble One, as in: འཕགས་པ་ཤིང་ཀུན་ = Swayambhunath; ཡུལ་ = place, object, as in: དམིགས་ཡུལ་ = object of focus, བལ་ཡུལ་ = Nepal",,སྔོན་མ་སངས་རྒྱས་དང་དགྲ་བཅོམ་པ་མང་པོ་རྒྱ་གར་ལ་འཁྲུངས་པ་ཡིན་ཙང་བོད་པ་ཚོས་རྒྱ་གར་ལ་རྒྱ་གར་འཕགས་པའི་ཡུལ་ཟེར་གྱི་ཡོད་རེད།,"Previously many Buddhas and Foe Destroyers were born in India, therefore Tibetans refer to India as “India, the land of the Aryas”.",[sound:L21 Vocabulary_Nouns_B-02.mp3],,,,,
1698228911636,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,སྐྱེས་བུ་དམ་པ་,excellent being,[sound:L21 Vocabulary_Nouns_B-05.mp3],"""<img alt=""""How to attain self-realization according to the Buddha - Quora"""" src=""""main-qimg-2366c4b8a6d17d1a31e515a15b42b2f5-lq.jpg"""">""",,n,"holy being, pure being",,,"སྐྱེས་པ་ = to be born, as in: སྐྱེས་དམན་ = woman, lower re-birth; བུ་ = son; དམ་པ་ = holy, sacred, as in: དམ་པའི་ཆོས་ = the holy, sacred dharma",,བོད་ལ་ཡང་རྗེ་བཙུན་མི་ལ་རས་པ་ལ་སོགས་པའི་སྐྱེས་བུ་དམ་པ་མང་པོ་འཁྲུངས་ཡོད་རེད།,Many holy beings such as Jetsun Milarepa were also born in Tibet. ,[sound:L21 Vocabulary_Nouns_B-06.mp3],,,,,
1698229010423,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,གྲུབ་ཐོབ་,Siddha,[sound:L21 Vocabulary_Nouns_B-07.mp3],"""<img src=""""Indian_Adept_(siddha)_-_Virupa_16_century_Private_coll..jpg"""">""",,n,"siddha(s), accomplished one(s)",,,"གྲུབ་པ་ = accomplished, achieved, as in: ཚིག་གྲུབ་ = sentence; ཐོབ་པ་ = to gain, to obtain, as in: ཐོབ་ཐང་ = right, privilege",,གྲུབ་ཐོབ་ཐང་སྟོང་རྒྱལ་པོས་བོད་ལ་ལྕགས་ཀྱི་ཟམ་པ་མང་པོ་བཟོས་གནང་པ་རེད།,The Siddha Thangtong Gyalpo built many iron bridges in Tibet.,[sound:L21 Vocabulary_Nouns_B-08.mp3],,,,,
1698229142520,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་,Buddha Shakyamuni,[sound:L21 Vocabulary_Nouns_B-09.mp3],"""<img src=""""buddha1_c1c0307b-0787-452d-8c5e-e3e206a575c4.jpeg"""">""",,n,,,,"སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་བྱོན། = Buddha Shakyamuni (Siddhartha) came, entered (the world) (སངས་རྒྱས་ = Buddha, སངས་ = to have purified, རྒྱས་ = to have increased, expanded; ཤཱཀྱ་ = Shakya; ཐུབ་པ་ = the Mighty one; བྱོན་པ་ = ཕེབས་པ་ (H) = to come, to arrive)",,ངས་གོ་ཡག་ལ་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ལུམ་བཱི་ནི་ལ་སྐུ་འཁྲུངས་པ་དང་རྒྱ་གར་གྱི་རྡོ་རྗེ་གདན་ལ་སངས་རྒྱས་པ་རེད་ཟེར་གྱི་འདུག,My understanding is that they say the Buddha Shakyamuni was born in Lumbini and attained Buddhahood in Bodh Gaya. ,[sound:L21 Vocabulary_Nouns_B-10.mp3],,,,,
1698229268170,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,བསྟན་པ་,Teaching,[sound:L21 Vocabulary_Nouns_B-11.mp3],"""<img src=""""Buddha-Teaching-Large-Group-1400px.webp"""">""",,n,doctrine,,,"བསྟན་པ་རྒྱ་ཆེན་པོ་དར་བ། = the teachings spread widely, vastly, extensively (བསྟན་པ་ = the teaching, as in: བསྟན་པ་ = to have shown, taught, taken out; རྒྱ་ཆེན་པོ་ = vast, broad; རྒྱ་ as in: རྒྱ་མཚོ་ = ocean, vast lake, རྒྱ་གར་ = India, རྒྱ་ནག = China; དར་བ་ = to spread, to be spread, as in: རྒྱལ་དར་ = national flag, དར་ལྕོག = prayer flags)",,བོད་ལ་སངས་རྒྱས་ཀྱི་བསྟན་པ་སྔ་དར་དང་ཕྱི་དར་གཉིས་བྱུང་པ་རེད།,Both an early dissemination/spreading of the Buddhadharma and a later dissemination/spreading of the Buddhadharma occurred in Tibet.,[sound:L21 Vocabulary_Nouns_B-12.mp3],,,,,
1698229394612,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,འབྲུག་ཡུལ་,Bhutan,[sound:L21 Vocabulary_Nouns_B-13.mp3],"""<img src=""""bhutan.jpeg"""">""",n,,,,,"<div>འབྲུག = dragon, as in: འབྲུག་སྐད་རྒྱག་པ་ = to thunder; ཡུལ་ = place, object, as in: དམིགས་ཡུལ་ = object of focus, བལ་ཡུལ་ = Nepal</div>",,འབྲུག་ཡུལ་ལ་ནང་པའི་དགོན་པ་རྙིང་པ་མང་པོ་དང་ལྷག་པར་དུ་གུ་རུ་རིན་པོ་ཆེའི་གནས་མང་པོ་མཇལ་ཡག་ཡོད་རེད།,In Bhutan there are quite a few ancient/old Buddhist monasteries and especially many Padmasambhava holy sites to visit.,[sound:L21 Vocabulary_Nouns_B-14.mp3],,,,,
1698229655356,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,སོག་ཡུལ་,Mongolia,[sound:L21 Vocabulary_Nouns_B-15.mp3],"""<img src=""""14a41165e2a59f489e422423e50e5295bac4854e-8473939-images-thumbsbolcvhul.webp"""">""",,n,,,,"སོག = a clan; ཡུལ་ = place, object, as in: དམིགས་ཡུལ་ = object of focus, བལ་ཡུལ་ = Nepal",,སངས་རྒྱས་ཀྱི་བསྟན་པ་འདི་བོད་ནས་སོག་ཡུལ་ལ་ཤུགས་ཆེན་པོ་དར་བ་རེད།,These teachings of the Buddha from Tibet spread extensively in Mongolia.,[sound:L21 Vocabulary_Nouns_B-16.mp3],,,,,
1698229907373,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,རི་རྒྱུད་,Mountain range,[sound:L21 Vocabulary_Nouns_C-01.mp3],"""<img alt=""""Great Himalaya' mountain map goes viral on the internet - Chinadaily.com.cn"""" src=""""5d37fbfaa310d8304552896c.jpeg"""">""",,n,,,,"ཧི་མ་ལ་ཡའི་རི་རྒྱུད། = The Himalayan range,  (ཧི་མ་ལ་ཡ་ = Himalaya; འི་ = འབྲེལ་སྒྲ་; རི་ = mountain, as in: གངས་རི་ = snow mountain; རྒྱུད་ as in: བཀའ་བརྒྱུད་ = Kagyu, རྒྱུད་བླ་མ་ = The Sublime Continuum)",,ཧི་མ་ལ་ཡཱའི་རི་རྒྱུད་མང་ཆེ་བ་ནང་པའི་ཆོས་བྱེད་མཁན་རྐྱང་རྐྱང་རེད།,Most of the Himalayan mountain range (peoples) are nothing but practitioners of Buddhism.,[sound:L21 Vocabulary_Nouns_C-02.mp3],,,,,
1698229993108,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,ཉི་ཧོང་,Japan,[sound:L21 Vocabulary_Nouns_C-03.mp3],"""<img alt=""""Japan | History, Flag, Map, Population, &amp; Facts | Britannica"""" src=""""Garden-Kinkaku-Temple-shelter-structure-use-landscape.jpg"""">""",,n,,,,"ཉི་ as in:ཉི་མ་ = Sun, as in: གཟའ་ཉི་མ་ = Sunday",,ང་ཚོའི་དགོན་པའི་མཆོད་ཡོན་གྱི་སྦྱིན་བདག་དེ་ཉི་ཧོང་པ་རེད།,Our monastery’s offerings donor is Japanese.,[sound:L21 Vocabulary_Nouns_C-04.mp3],,,,,
1698230057412,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,ཀོ་རེ་ཡ་,Korea,[sound:L21 Vocabulary_Nouns_C-05.mp3],"""<img alt=""""Seoul 2023/2024 - Modern South Korea | InsideAsia Tours"""" src=""""seoul-skyline-south-korea-hero-updated.jpg"""">""",,n,,,,,,ཀཱོ་རཱི་ཡའི་ལུང་པའི་ནང་ལ་ནང་པའི་དགོན་པ་དང་ནང་པའི་དགེ་སློང་ཡང་མང་པོ་ཡོད་རེད།,There are also many Buddhist monasteries and fully ordained Buddhist monks in the land of Korea. ,[sound:L21 Vocabulary_Nouns_C-06.mp3],,,,,
1698230115655,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,ཐཡི་ལེནྜ་,Thailand,[sound:L21 Vocabulary_Nouns_C-07.mp3],"""<img alt=""""15 Thailand Temples That Would Offer A Unique 2023 Experience"""" src=""""sanctuary-of-truth.jpg"""">""",,n,,,,,,ཐཡི་ལེནྜ་ནང་ལ་ངའི་ངོ་ཤེས་པ་ནང་པའི་གྲོགས་པོ་ཁ་ཤས་སྡོད་ཀྱི་ཡོད་རེད།,Some of my Buddhist friends live in Thailand.,[sound:L21 Vocabulary_Nouns_C-08.mp3],,,,,
